city,price,price_per_m2,area_m2,rooms,floor,neighborhood,sub_neighborhood,is_private_owner,url
Warszawa,1395000.0,18070.0,77.2,3.0,7.0,Wola,Odolany,True,https://www.otodom.pl/pl/oferta/3-pok-77-26-m-7p-widok-pkin-cesja-bez-pcc-4q2027-bezposred-ID4AINE
Warszawa,1300000.0,23649.0,54.97,2.0,3.0,Mokotów,Ksawerów,True,https://www.otodom.pl/pl/oferta/przestronny-apartament-przy-metro-wilanowska-ID4AUMR
Warszawa,979000.0,11125.0,88.0,3.0,3.0,Białołęka,Białołęka Dworska,False,https://www.otodom.pl/pl/oferta/apartament-z-duzym-tarasem-36m2-salon-40m2-duze-przeszklenia-atal-ID4A2fW
Warszawa,880000.0,19793.0,44.46,2.0,0.0,Bemowo,Chrzanów,True,https://www.otodom.pl/pl/oferta/2-pokoje-batalionow-chlopskich-44-5-m2-balkon-garaz-ID4AEUJ
Warszawa,599000.0,11238.0,53.3,3.0,5.0,Targówek,Bródno,False,https://www.otodom.pl/pl/oferta/3-pokoje-na-targowku-do-remontu-ID4AUME
Warszawa,819000.0,14496.0,56.5,2.0,5.0,Ursus,Skorosze,True,https://www.otodom.pl/pl/oferta/komfortowe-2-pokojowe-mieszkanie-na-sprzedaz-bez-posrednikow-ID4ABEj
Warszawa,849000.0,13541.0,62.7,3.0,3.0,Białołęka,Nowodwory,True,https://www.otodom.pl/pl/oferta/3-pokoje-62-7-m-3-pietro-warszawa-tarchomin-ul-odkryta-ID4AINe
Warszawa,1695000.0,20696.0,81.9,3.0,1.0,Wilanów,Błonia Wilanowskie,True,https://www.otodom.pl/pl/oferta/3pokojowe-mieszkanie-apartament-miasteczko-wilanow-82-m-ID4AEU1
Warszawa,1715000.0,21987.0,78.0,3.0,2.0,Mokotów,Ksawerów,True,https://www.otodom.pl/pl/oferta/metro-wierzbno-ciche-jasne-34-pokoje-kupujacy-nie-placi-prowizji-ID4AUM8
Warszawa,860000.0,17200.0,50.0,2.0,3.0,Praga-Południe,Gocław,False,https://www.otodom.pl/pl/oferta/apartament-2-pokoje-50m2-z-garazem-w-poblizu-c-h-promenada-ID4ACvU
Warszawa,739000.0,16346.0,45.21,2.0,1.0,Białołęka,Brzeziny,True,https://www.otodom.pl/pl/oferta/bialoleka-2-pokoje-45m2-bialolecka-ID4zQqI
Warszawa,3990000.0,28298.0,141.0,5.0,2.0,Wilanów,Błonia Wilanowskie,True,https://www.otodom.pl/pl/oferta/duzy-prestizowy-apartament-141m-3-tarasy-3-parkingi-wilanow-ID4AUM0
Warszawa,925000.0,20904.0,44.25,3.0,1.0,Wola,Mirów,False,https://www.otodom.pl/pl/oferta/mieszkanie-44-m2-po-remoncie-przy-rondzie-onz-ID4Abli
